high,low,volume,close,open,time
312.83,310.34,10760361.0,311.43,312.11,1651510800
312.69,309.645,11293441.0,311.15,311.44,1651514400
318.72,311.0,24748320.0,318.46,311.05,1651518000
318.77,317.28,5529144.0,317.99,318.45,1651521600
318.15,317.93,152222.0,318.0,317.95,1651525200
318.08,317.42,117654.0,317.61,318.0,1651528800
318.19,317.62,140314.0,318.03,317.62,1651532400
319.83,318.19,92372.0,318.63,318.39,1651564800
318.9,318.09,87000.0,318.54,318.5,1651568400
318.81,316.83,95355.0,317.19,318.58,1651572000
318.22,316.89,224340.0,318.17,317.23,1651575600
319.62,318.13,540248.0,319.35,318.13,1651579200
319.48,315.98,12722856.0,319.44,319.33,1651582800
320.43,316.16,14210889.0,317.44,319.41,1651586400
320.24,316.75,9279753.0,319.2935,317.37,1651590000
320.21,317.36,7931608.0,318.74,319.26,1651593600
321.17,318.61,7607442.0,320.06,318.77,1651597200
320.11,316.62,9583103.0,319.55,320.03,1651600800
320.08,317.19,12025987.0,318.91,319.56,1651604400
320.31,318.74,2510425.0,319.65,318.92,1651608000
319.9,318.82,554380.0,319.71,319.79,1651611600
319.95,319.4,213512.0,319.42,319.71,1651615200
319.81,319.28,134671.0,319.54,319.42,1651618800
319.93,319.38,27830.0,319.62,319.58,1651651200
319.79,318.96,15363.0,319.79,319.39,1651654800
320.12,319.59,76932.0,319.85,319.83,1651658400
320.43,319.64,119455.0,319.94,319.83,1651662000
320.09,319.26,200177.0,319.4,319.94,1651665600
319.58,317.11,6970049.0,317.145,319.22,1651669200
317.37,314.76,10800305.0,315.1,317.16,1651672800
316.2,313.891,7943918.0,315.785,315.11,1651676400
319.2394,315.5,7743395.0,319.21,315.78,1651680000
320.9116,318.42,7995686.0,320.23,319.24,1651683600
325.38,315.25,42863376.0,324.9,320.2,1651687200
330.29,324.25,25900023.0,329.74,324.94,1651690800
329.74,328.63,4146383.0,328.84,329.74,1651694400
329.6,328.7,293276.0,329.21,328.8,1651698000
329.9,328.99,224317.0,329.11,329.2,1651701600
329.39,329.0,174794.0,329.25,329.15,1651705200
327.78,326.02,227997.0,326.55,327.5,1651737600
327.5,326.58,81258.0,327.12,326.68,1651741200
327.7,326.84,106443.0,326.84,327.04,1651744800
327.77,326.71,407839.0,327.07,326.85,1651748400
327.8,326.44,517506.0,326.55,327.06,1651752000
326.55,320.61,15307800.0,321.02,326.55,1651755600
321.1,315.04,26307732.0,316.4,321.06,1651759200
316.54,312.91,18615777.0,312.98,316.4,1651762800
315.29,311.89,15088110.0,314.5181,312.96,1651766400
315.985,312.36,13893944.0,312.805,314.48,1651770000
314.3,311.5156,12637368.0,312.43,312.77,1651773600
313.87,309.62,38656350.0,313.39,312.41,1651777200
314.87,313.0,11332018.0,314.3596,313.41,1651780800
314.49,313.84,223416.0,314.02,314.25,1651784400
314.1,313.13,292255.0,313.6,313.91,1651788000
314.07,313.34,249276.0,314.01,313.44,1651791600
313.47,311.66,210057.0,311.78,311.66,1651824000
312.42,311.13,69024.0,312.41,311.8,1651827600
312.56,311.44,180295.0,311.5,312.36,1651831200
311.77,310.19,398030.0,311.2901,311.69,1651834800
314.2,309.94,2163928.0,310.09,311.31,1651838400
311.73,305.105,21747520.0,305.84,310.08,1651842000
313.63,305.67,35504401.0,312.98,305.85,1651845600
315.09,309.48,18488454.0,309.85,312.93,1651849200
313.56,309.5,12662352.0,313.47,309.8699,1651852800
313.81,309.04,9755890.0,309.22,313.4876,1651856400
309.9,307.25,12123514.0,307.83,309.19,1651860000
310.86,306.3,20978699.0,309.4,307.86,1651863600
309.65,307.83,4137124.0,308.77,309.43,1651867200
309.25,308.53,527569.0,308.58,308.53,1651870800
308.8,308.48,40270.0,308.6,308.6,1651874400
308.9,308.58,76608.0,308.9,308.6,1651878000
306.66,303.74,283099.0,304.55,305.58,1652083200
305.08,303.09,144650.0,303.69,304.55,1652086800
303.84,301.5,493285.0,301.96,303.6,1652090400
302.83,300.94,957205.0,302.76,301.97,1652094000
309.481,301.96,1213929.0,303.32,302.58,1652097600
306.0,302.71,14854906.0,303.46,303.33,1652101200
303.78,299.58,16381556.0,299.83,303.47,1652104800
301.19,298.25,14245029.0,300.38,299.83,1652108400
302.65,299.11,10204009.0,299.49,300.37,1652112000
300.5484,297.95,8881227.0,298.71,299.43,1652115600
309.3487,297.57,12789244.0,299.59,298.71,1652119200
300.68,295.72,26140833.0,297.2,299.59,1652122800
299.84,297.0318,5106363.0,297.38,297.21,1652126400
297.51,297.0,428259.0,297.35,297.45,1652130000
298.5,297.38,365154.0,298.21,297.38,1652133600
298.33,297.56,147215.0,298.2,298.29,1652137200
302.36,300.12,210283.0,301.94,300.12,1652169600
302.65,301.04,213463.0,301.12,301.9,1652173200
301.95,300.7,242077.0,300.71,301.01,1652176800
300.87,299.64,495022.0,300.72,300.65,1652180400
304.0,300.66,2350335.0,303.83,300.69,1652184000
305.76,300.62,16578692.0,303.7,303.81,1652187600
305.49,298.67,20219686.0,298.985,303.69,1652191200
300.05,296.57,17140862.0,298.99,298.97,1652194800
300.16,297.12,11591325.0,298.045,298.98,1652198400
